Date,46136,,,,,,,
Personalization,,,,,,,,
Additional Capital,50000,,,,,,,
Number of stocks,10,,,,,,,
Sectors Excluded,None,,,,,,,
Risk Profile,Aggressive,,,,,,,
Market Cap,"> Rs.3,000 Crores",,,,,,,
Portfolio -24-04-2026 - Aggressive,,,,,,,,
STOCK DETAILS,CURRENT PRICE,RECOMMENDED WEIGHT,RECOMMENDED AMOUNT,RECOMMENDED QUANTITY,CURRENT QUANTITY,TRANSACTION QUANTITY,ACTION,STOP LOSS
Avenue Super.,4443.5,13.13,102200.5,23,0,23,Buy,3482.36
Eicher Motors,7111.5,10.96,85338,12,13,1,Sell,6297.34
HDFC AMC,2735,7.03,54700,20,28,8,Sell,2106.41
Hero Motocorp,4961.5,10.83,84345.5,17,14,3,Buy,4692.07
APL Apollo Tubes,2004.5,11.07,86193.5,43,38,5,Buy,1846.85
Petronet LNG,273.45,8.89,69182.85,253,248,5,Buy,220.65
Anand Rathi Wea.,3580.9,9.66,75198.9,21,22,1,Sell,3032.6
Metro Brands,1042.45,9.78,76098.85,73,73,0,Hold,879.84
MAS FINANC SER,320.35,8.89,69195.6,216,208,8,Buy,257.81
Swaraj Engines,3863,8.44,65671,17,17,0,Hold,3361.39
Nifty Bees,271.09,1.33,10331.46,38,39,1,Sell,-
Hindalco Inds.,1048.35,0,0,0,46,46,Sell,731.81
,,,778456.16,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
Stock Metrics,,,,,,,,
Name,Holding Score,Strength Score,Quality Score,Growth Score,,,,
Avenue Super.,100,62.86,50,63.16,,,,
Eicher Motors,80,77.14,77.59,73.68,,,,
HDFC AMC,80,77.14,81.03,63.16,,,,
Hero Motocorp,30,88.57,89.66,60.53,,,,
APL Apollo Tubes,76.3,74.29,79.31,57.89,,,,
Petronet LNG,80,94.29,72.41,47.37,,,,
Anand Rathi Wea.,40,91.43,81.03,73.68,,,,
Metro Brands,100,85.71,72.41,68.42,,,,
MAS FINANC SER,100,74.29,95,63.16,,,,
Swaraj Engines,80,91.43,81.03,78.95,,,,
